Name,Brand,Type,Image,Description,Code,Item,qty,rrp,range,min order,deadline,months,reg cost,cost
Energizer Tower ,products/energizer.png,Batteries Prepack,products/prepack1,"No 1. Battery Brand in Australia, high volume promotional lines designed to maximise category sales",212534,Energizer MAX AA 10pk,10,19,Max Display,1,End of July 2026,JULY; SEPT; JAN,125.8,62.9
,,,,,257084,Energizer MAX AAA 8pk,12,19,Max Display,1,End of July 2026,JULY; SEPT; JAN,142.2,71.7
,,,,,824941,Energizer MAX AA 16pk,12,27.5,Max Display,1,End of July 2026,JULY; SEPT; JAN,204.6,102.3
,,,,,824873,Energizer MAX AAA 14pk,12,27.5,Max Display,1,End of July 2026,JULY; SEPT; JAN,198.48,99.24
,,,,,296664,Energizer MAX PLUS AA 10pk,12,22.5,Max Display,1,End of July 2026,JULY; SEPT; JAN,168.84,84.42
,,,,,617645,Energizer MAX PLUS AA 10pk,12,22.5,Max Display,1,End of July 2026,JULY; SEPT; JAN,160.8,80.4
Eveready Tower ,products/eveready.png,Batteries Prepack,products/prepack2,"No 1. Value Brand in Australia, Maarketin g investment s delvierint over $2m media value. ",647679,Eveready BLACK AA 24pk,18,20,Value Display,1,End of July 2026,JULY; SEPT; JAN,243.18,121.59
,,,,,751282,Eveready BLACK AAA 24pk,18,20,Value Display,1,End of July 2026,JULY; SEPT; JAN,240.84,120.42
,,,,,532379,Eveready GOLD AA 8pk,18,13.5,Value Display,1,End of July 2026,JULY; SEPT; JAN,143.64,71.82
,,,,,532308,Eveready GOLD AAA 8pk,18,13.5,Value Display,1,End of July 2026,JULY; SEPT; JAN,152.28,76.14
,,,,,647750,Eveready GOLD AAA 16pk,18,19.5,Value Display,1,End of July 2026,JULY; SEPT; JAN,178.56,89.28
,,,,,532230,Eveready GOLD AAA 16pk,18,19.5,Value Display,1,End of July 2026,JULY; SEPT; JAN,178.56,89.28
Energizer Penta,products/energizer.png,Batteries Prepack,products/prepack3,Australia's No. 1 High Performance. Extensively supported with promotion sto drive sales and category value.,296664,Enerrgizer MAX PLUS AA 10pk,24,22.5,High Performance,1,End of July 2027,JULY; SEPT; JAN,337.72,168.86
,,,,,617645,Enerrgizer MAX PLUS AAA 10pk,24,22.5,High Performance,1,End of July 2028,JULY; SEPT; JAN,321.6,160.8
Energizer MAX 14/16,products/energizer.png,Batteries Loose,products/loose1,"The No. 1 & 2 Top Selling SKUS, High Volume Promotion Lines. BEST DEAL OF THE YEAR.",824941,Energizer MAX AA 16pk,30,22.5,Loose Stock,1,End of July 2028,JULY; SEPT; JAN,511.5,255.75
,,,,,824873,Energizer MAX AAA 14pk,24,22.5,Loose Stock,1,End of July 2028,JULY; SEPT; JAN,198.48,660
Energizer Specialty,products/energizer.png,Batteries Loose,products/special,Australia's No. 1 Range of Specialty Batteries. 81% of all specialty sales are made up of these 5 SKU's,556027,Energizer 2032 2pk,12,10.5,Loose Stock,1,End of July 2028,JULY; SEPT; JAN,46.08,27.65
,,,,,555843,Energizer 2025 2pk,12,10.5,Loose Stock,1,End of July 2028,JULY; SEPT; JAN,46.08,27.65
,,,,,555424,Energizer 2016 2pk,12,10.5,Loose Stock,1,End of July 2028,JULY; SEPT; JAN,46.32,27.79
,,,,,221826,Energizer A23 2pk,12,8,Loose Stock,1,End of July 2028,JULY; SEPT; JAN,36.96,22.18
,,,,,555518,Energizer A26 2pk,12,8,Loose Stock,1,End of July 2028,JULY; SEPT; JAN,26.76,16.06